Zona;Especie de vertebrado;Condición;Familia;Y;X;Dermestes ater;Dermestes frischii;Dermestes maculatus;Necrobia rufipes;Psammetichus sp.;Aleochara sp.;Paraneda p. guticollis;Phaleria psammatea;Hypocaccus gaudens
Northern mangrove;Pelecanus thagus;Dry remains;Cleridae;-5.578533333;-80.86198333;0;96;0;15;0;0;0;3;0
Northern mangrove;Pelecanus thagus;Dry remains;Histeridae;-5.577266667;-80.86281667;0;0;0;0;0;0;0;0;2
Beach;Pelecanus thagus;Active decay;Histeridae;-5.58395;-80.8698;0;0;3;0;0;0;0;0;4
Northern mangrove;Pelecanus thagus;Dry remains;Tenebrionidae;-5.577883333;-80.8637;0;0;0;0;0;0;0;6;0
Northern mangrove;Sula variegata;Dry remains;Histeridae;-5.57685;-80.87033333;0;0;0;0;0;0;0;0;2
Northern mangrove;Pelecanus thagus;Dry remains;Tenebrionidae;-5.577783333;-80.87081667;0;0;0;0;0;0;0;66;0
Northern mangrove;Sula variegata;Advanced decay;Tenebrionidae;-5.580766667;-80.87076667;0;0;30;0;0;0;0;51;18
Beach;Delphinus sp.;Advanced decay;Dermestidae;-5.580766667;-80.87076667;0;0;30;0;0;0;0;51;18
Beach;Pelecanus thagus;Advanced decay;Dermestidae;-5.583866667;-80.86985;0;5;0;0;0;0;0;0;0
Beach;Sula variegata;Advanced decay;Dermestidae;-5.58395;-80.8698;0;0;3;0;0;0;0;0;4
Beach;Chelonia mydas;Advanced decay;Dermestidae;-5.583916667;-80.8698;0;72;36;0;0;0;0;6;192
Beach;Pelecanus thagus;Advanced decay;Dermestidae;-5.584766667;-80.86961667;0;0;100;0;0;0;0;4;8
Beach;Pelecanus thagus;Advanced decay;Dermestidae;-5.584933333;-80.86948333;0;20;0;0;0;0;4;0;16
Beach;Pelecanus thagus;Dry remains;Dermestidae;-5.583916667;-80.86985;0;27;0;0;0;0;0;9;3
Beach;Delphinus sp.;Active decay;Dermestidae;-5.58725;-80.86916667;0;0;5;0;0;0;0;0;0
Beach;Otaria flavescens;Advanced decay;Dermestidae;-5.574016667;-80.87266667;0;24;36;0;0;0;0;102;168
Beach;Otaria flavescens;Advanced decay;Dermestidae;-5.574016667;-80.87266667;0;24;36;0;0;0;0;102;168
Beach;Otaria flavescens;Advanced decay;Histeridae;-5.574016667;-80.87266667;0;24;36;0;0;0;0;102;168
Beach;Otaria flavescens;Advanced decay;Tenebrionidae;-5.574016667;-80.87266667;0;24;36;0;0;0;0;102;168
Beach;Delphinus sp.;Advanced decay;Histeridae;-5.580766667;-80.87076667;0;0;30;0;0;0;0;51;18
Beach;Delphinus sp.;Advanced decay;Dermestidae;-5.580766667;-80.87076667;0;0;30;0;0;0;0;51;18
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.577783333;-80.87081667;0;0;0;0;0;0;0;66;0
Beach;Pelecanus thagus;Advanced decay;Coccinelidae;-5.572683333;-80.8732;0;0;4;0;0;0;2;0;0
Beach;Pelecanus thagus;Advanced decay;Dermestidae;-5.572683333;-80.8732;0;0;4;0;0;0;2;0;0
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.583916667;-80.86985;0;27;0;0;0;0;0;9;3
Beach;Pelecanus thagus;Active decay;Dermestidae;-5.584766667;-80.86961667;0;0;100;0;0;0;0;4;8
Beach;Pelecanus thagus;Active decay;Histeridae;-5.584766667;-80.86961667;0;0;100;0;0;0;0;4;8
Beach;Pelecanus thagus;Advanced decay;Dermestidae;-5.584933333;-80.86948333;0;20;0;0;0;0;4;0;16
Beach;Pelecanus thagus;Advanced decay;Histeridae;-5.584933333;-80.86948333;0;20;0;0;0;0;4;0;16
Beach;Pelecanus thagus;Advanced decay;Coccinelidae;-5.584933333;-80.86948333;0;20;0;0;0;0;4;0;16
Beach;Pelecanus thagus;Advanced decay;Dermestidae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Pelecanus thagus;Advanced decay;Histeridae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Pelecanus thagus;Dry remains;Histeridae;-5.583916667;-80.86985;0;27;0;0;0;0;0;9;3
Beach;Chelonia mydas;Dry remains;Histeridae;-5.583916667;-80.8698;0;72;36;0;0;0;0;6;192
Beach;Chelonia mydas;Dry remains;Dermestidae;-5.583916667;-80.8698;0;72;36;0;0;0;0;6;192
Northern mangrove;Pelecanus thagus;Dry remains;Dermestidae;-5.58085;-80.8624;0;8;0;0;0;0;4;12;0
Northern mangrove;Pelecanus thagus;Dry remains;Tenebrionidae;-5.58085;-80.8624;0;8;0;0;0;0;4;12;0
Northern mangrove;Pelecanus thagus;Dry remains;Coccinelidae;-5.58085;-80.8624;0;8;0;0;0;0;4;12;0
Northern mangrove;Pelecanus thagus;Dry remains;Dermestidae;-5.578533333;-80.86198333;0;96;0;15;0;0;0;3;0
Northern mangrove;Pelecanus thagus;Dry remains;Tenebrionidae;-5.578533333;-80.86198333;0;96;0;15;0;0;0;3;0
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.572366667;-80.87335;0;8;0;0;0;0;0;6;14
Beach;Chelonia mydas;Dry remains;Dermestidae;-5.583916667;-80.8698;0;72;36;0;0;0;0;6;192
Beach;Pelecanus thagus;Dry remains;Histeridae;-5.572366667;-80.87335;0;8;0;0;0;0;0;6;14
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Pelecanus thagus;Dry remains;Dermestidae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Pelecanus thagus;Dry remains;Histeridae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.57245;-80.87321667;0;161;0;0;0;0;0;490;112
Beach;Sula variegata;Dry remains;Tenebrionidae;-5.57435;-80.87238333;0;0;0;0;0;0;0;18;2
Beach;Sula variegata;Dry remains;Histeridae;-5.57435;-80.87238333;0;0;0;0;0;0;0;18;2
Beach;Sula variegata;Dry remains;Tenebrionidae;-5.574483333;-80.87233333;0;0;4;0;0;0;0;340;4
Beach;Sula variegata;Dry remains;Dermestidae;-5.574483333;-80.87233333;0;0;4;0;0;0;0;340;4
Beach;Chelonia mydas;Dry remains;Histeridae;-5.583916667;-80.8698;0;72;36;0;0;0;0;6;192
Beach;Sula variegata;Dry remains;Histeridae;-5.574483333;-80.87233333;0;0;4;0;0;0;0;340;4
Beach;Sula variegata;Dry remains;Tenebrionidae;-5.574483333;-80.87233333;0;0;4;0;0;0;0;340;4
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.575633333;-80.872;0;27;0;0;0;0;0;354;0
Beach;Phalacrocorax brasilianus;Dry remains;Dermestidae;-5.575633333;-80.872;0;27;0;0;0;0;0;354;0
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.575633333;-80.872;0;27;0;0;0;0;0;354;0
Beach;Otaria flavescens;Dry remains;Tenebrionidae;-5.5757;-80.87191667;0;0;0;6;0;0;0;112;0
Beach;Otaria flavescens;Dry remains;Cleridae;-5.5757;-80.87191667;0;0;0;6;0;0;0;112;0
Beach;Pelecanus thagus;Dry remains;Histeridae;-5.575816667;-80.87191667;0;0;0;0;0;0;0;16;4
Beach;Chelonia mydas;Dry remains;Tenebrionidae;-5.583916667;-80.8698;0;72;36;0;0;0;0;6;192
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.575816667;-80.87191667;0;0;0;0;0;0;0;16;4
Beach;Pelecanus thagus;Dry remains;Histeridae;-5.581466667;-80.8705;0;0;0;0;0;0;0;8;24
Beach;Pelecanus thagus;Dry remains;Tenebrionidae;-5.581466667;-80.8705;0;0;0;0;0;0;0;8;24
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.583033333;-80.87093333;0;0;0;0;0;0;0;30;6
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.583033333;-80.87093333;0;0;0;0;0;0;0;30;6
Beach;Delphinus sp.;Dry remains;Tenebrionidae;-5.5832;-80.87003333;0;0;0;0;0;0;0;57;0
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.583766667;-80.86978333;0;0;0;0;0;0;0;56;0
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.583766667;-80.86978333;0;0;0;0;0;0;0;56;0
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.584;-80.86981667;0;0;0;0;0;2;0;108;4
