Zona;Especie de vertebrado;Condición;Familia;XY;Dermestes ater;Dermestes frischii;Dermestes maculatus;Necrobia rufipes;Notiobia peruviana;Paederus ornaticornis;Paraneda p. guticollis;Phaleria pacifica;Hypocaccus gaudens
Manglar Norte;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.4486;0;0;0;0;0;0;0;66;0
Manglar Norte;Sula variegata;Descomposición avanzada;Tenebrionidae;-86.45153334;0;0;30;0;0;0;0;51;18
Playa;Delphinus sp.;Descomposición avanzada;Dermestidae;-86.45153334;0;0;30;0;0;0;0;51;18
Playa;Pelecanus thagus;Descomposición avanzada;Dermestidae;-86.45371667;0;5;0;0;0;0;0;0;0
Playa;Sula variegata;Descomposición avanzada;Dermestidae;-86.45375;0;0;3;0;0;0;0;0;4
Playa;Chelonia mydas;Descomposición avanzada;Dermestidae;-86.45371667;0;72;36;0;0;0;0;6;192
Playa;Pelecanus thagus;Descomposición avanzada;Dermestidae;-86.45438334;0;0;100;0;0;0;0;4;8
Playa;Pelecanus thagus;Descomposición avanzada;Dermestidae;-86.45441666;0;20;0;0;0;0;4;0;16
Playa;Pelecanus thagus;Seco o restos;Dermestidae;-86.45376667;0;27;0;0;0;0;0;9;3
Playa;Delphinus sp.;Descomposición activa;Dermestidae;-86.45641667;0;0;5;0;0;0;0;0;0
Playa;Otaria flavescens;Descomposición avanzada;Dermestidae;-86.44668334;0;24;36;0;0;0;0;102;168
Playa;Otaria flavescens;Descomposición avanzada;Dermestidae;-86.44668334;0;24;36;0;0;0;0;102;168
Playa;Otaria flavescens;Descomposición avanzada;Histeridae;-86.44668334;0;24;36;0;0;0;0;102;168
Playa;Otaria flavescens;Descomposición avanzada;Tenebrionidae;-86.44668334;0;24;36;0;0;0;0;102;168
Playa;Delphinus sp.;Descomposición avanzada;Histeridae;-86.45153334;0;0;30;0;0;0;0;51;18
Playa;Delphinus sp.;Descomposición avanzada;Dermestidae;-86.45153334;0;0;30;0;0;0;0;51;18
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.4486;0;0;0;0;0;0;0;66;0
Playa;Pelecanus thagus;Descomposición avanzada;Coccinelidae;-86.44588333;0;0;4;0;0;0;2;0;0
Playa;Pelecanus thagus;Descomposición avanzada;Dermestidae;-86.44588333;0;0;4;0;0;0;2;0;0
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.45376667;0;27;0;0;0;0;0;9;3
Playa;Pelecanus thagus;Descomposición activa;Dermestidae;-86.45438334;0;0;100;0;0;0;0;4;8
Playa;Pelecanus thagus;Descomposición activa;Histeridae;-86.45438334;0;0;100;0;0;0;0;4;8
Playa;Pelecanus thagus;Descomposición avanzada;Dermestidae;-86.45441666;0;20;0;0;0;0;4;0;16
Playa;Pelecanus thagus;Descomposición avanzada;Histeridae;-86.45441666;0;20;0;0;0;0;4;0;16
Playa;Pelecanus thagus;Descomposición avanzada;Coccinelidae;-86.45441666;0;20;0;0;0;0;4;0;16
Playa;Pelecanus thagus;Descomposición avanzada;Dermestidae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Pelecanus thagus;Descomposición avanzada;Histeridae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Pelecanus thagus;Seco o restos;Histeridae;-86.45376667;0;27;0;0;0;0;0;9;3
